Topic,TokenCount,Words
0,24705,"country national public without labor law problem order much ought"
1,17094,"children know schools give school help let your education say"
2,14653,"united states soviet forces europe military countries east security union"
3,19904,"let tonight his state history before union ago americans together"
4,15949,"billion dollars fiscal expenditures million budget about increase debt over"
5,27141,"federal legislation public state program administration local states action act"
6,20613,"business production farm agriculture prices price economic high employment labor"
7,20028,"tax budget security federal economy jobs social spending percent health"
8,13500,"health care crime help welfare americans medical members act reform"
9,12411,"forces men military service army navy armed being transportation defense"
10,13484,"against freedom men fight weapons could iraq fighting terrorists united"
11,17936,"states economic united trade international policy foreign cooperation free between"
12,14927,"energy national defense program resources use nuclear development military power"
13,19870,"freedom life free human strength opportunity cannot progress individual rights"
